"Config","Target_ns","Estimated_ns","Estimated_Fmax_MHz","Latency_cycles","Interval","LUT","FF","BRAM_18K","DSP"
"clk_10ns_baseline","10.00","8.280","120.77","1647854","1647855","17108","13452","70",
"clk_9ns","9.00","7.466","133.94","2247712","2247713","17789","13916","70",
"clk_8ns","8.00","6.726","148.68","2546729","2546730","18423","14329","70",
"clk_7_5ns","7.50","6.418","155.81","2548619","2548620","18396","14473","70",
"clk_7ns","7.00","5.377","185.98","2847628","2847629","18945","15272","70",
