dataset,condition,parameter,sample_count,predicted_digit_count,mean_confidence,max_confidence,predicted_class_counts,notes
synthetic_blank,blank,pure_white,1,1,0.11029895015978002,0.11029895015978002,0:0;1:0;2:0;3:0;4:0;5:1;6:0;7:0;8:0;9:0,No target label; report predictions instead of accuracy.
synthetic_blank,blank,shadow,32,32,0.14542107763772177,0.2412901143815986,0:1;1:1;2:11;3:2;4:0;5:16;6:0;7:0;8:0;9:1,No target label; report predictions instead of accuracy.
synthetic_blank,blank,clutter,32,32,0.6452573478994403,0.9989237872345523,0:0;1:4;2:6;3:2;4:5;5:7;6:1;7:5;8:1;9:1,No target label; report predictions instead of accuracy.
