版本,PE_OC,PE_MAC,II目标,Achieved II,Latency(cycles),加速比(vs同环境D0),DSP48E,BRAM_18K,LUT,FF,估计时钟(ns),C-sim,Conv2最大绝对误差,备注
D0,1,1,-,-,1240076,1.00,5,0,8372,5249,8.280,PASS,2.77566910e-3,2022.2同环境实测基线(2019.1手册基线3,405,954仅作跨版本参考)
D1,1,1,1,150,254749,4.87,5,0,16190,27134,10.200,PASS,2.77566910e-3,仅Pipeline;AXI端口使II只能到150
D2,1,5,1,150,243101,5.10,7,0,13444,16887,10.200,PASS,2.77566910e-3,PE_MAC=5;D1~D4中延迟最低
D3,2,5,-,无法流水化,283203,4.38,7,0,15476,12511,10.203,PASS,2.77566910e-3,PE_OC=2+PE_MAC=5;AXI端口瓶颈
D4,4,5,1,无法流水化,267203,4.64,7,0,17637,12666,9.394,PASS,2.77566910e-3,PE_OC=4+PE_MAC=5;时钟预算内
D5,4,5,32,32,15415,80.44,103,46,45726,43113,9.591,PASS,2.77566910e-3,最终候选:局部缓存解除AXI瓶颈;RTL Co-sim PASS 19,815 cycles
