sample_id,true_label,pred_label,confidence,raw_file,page_file,row,col,cell_file,processed_28x28,input_32x32
2_2_01_2e3151dd_r04c04,2,3,0.9875715918789839,./data/raw/dataset/2_01.jpg,./data/preprocessed/dataset/pages/2_01_2e3151dd.jpg,4,4,./data/preprocessed/dataset/cells/2_2_01_2e3151dd_r04c04.png,./data/preprocessed/dataset/processed_28x28/2/2_2_01_2e3151dd_r04c04.png,./data/preprocessed/dataset/input_32x32/2/2_2_01_2e3151dd_r04c04.png
3_3_01_3ef7df64_r04c03,3,7,0.677787684431432,./data/raw/dataset/3_01.jpg,./data/preprocessed/dataset/pages/3_01_3ef7df64.jpg,4,3,./data/preprocessed/dataset/cells/3_3_01_3ef7df64_r04c03.png,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c03.png,./data/preprocessed/dataset/input_32x32/3/3_3_01_3ef7df64_r04c03.png
3_3_01_3ef7df64_r04c04,3,1,0.8893393598462642,./data/raw/dataset/3_01.jpg,./data/preprocessed/dataset/pages/3_01_3ef7df64.jpg,4,4,./data/preprocessed/dataset/cells/3_3_01_3ef7df64_r04c04.png,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c04.png,./data/preprocessed/dataset/input_32x32/3/3_3_01_3ef7df64_r04c04.png
3_3_02_0ace0337_r04c04,3,1,0.7931548287972101,./data/raw/dataset/3_02.jpg,./data/preprocessed/dataset/pages/3_02_0ace0337.jpg,4,4,./data/preprocessed/dataset/cells/3_3_02_0ace0337_r04c04.png,./data/preprocessed/dataset/processed_28x28/3/3_3_02_0ace0337_r04c04.png,./data/preprocessed/dataset/input_32x32/3/3_3_02_0ace0337_r04c04.png
6_6_01_52f5f834_r01c02,6,5,0.558201101845642,./data/raw/dataset/6_01.jpg,./data/preprocessed/dataset/pages/6_01_52f5f834.jpg,1,2,./data/preprocessed/dataset/cells/6_6_01_52f5f834_r01c02.png,./data/preprocessed/dataset/processed_28x28/6/6_6_01_52f5f834_r01c02.png,./data/preprocessed/dataset/input_32x32/6/6_6_01_52f5f834_r01c02.png
9_9_02_2f49434b_r01c03,9,8,0.7300232016349562,./data/raw/dataset/9_02.jpg,./data/preprocessed/dataset/pages/9_02_2f49434b.jpg,1,3,./data/preprocessed/dataset/cells/9_9_02_2f49434b_r01c03.png,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r01c03.png,./data/preprocessed/dataset/input_32x32/9/9_9_02_2f49434b_r01c03.png
9_9_02_2f49434b_r02c04,9,1,0.932100544139288,./data/raw/dataset/9_02.jpg,./data/preprocessed/dataset/pages/9_02_2f49434b.jpg,2,4,./data/preprocessed/dataset/cells/9_9_02_2f49434b_r02c04.png,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r02c04.png,./data/preprocessed/dataset/input_32x32/9/9_9_02_2f49434b_r02c04.png
9_9_02_2f49434b_r03c01,9,4,0.6485624743124904,./data/raw/dataset/9_02.jpg,./data/preprocessed/dataset/pages/9_02_2f49434b.jpg,3,1,./data/preprocessed/dataset/cells/9_9_02_2f49434b_r03c01.png,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r03c01.png,./data/preprocessed/dataset/input_32x32/9/9_9_02_2f49434b_r03c01.png
