Configuration,WeightBits,ActivationBits,AccumulatorBits,TestSamples,AccuracyPercent,AccuracyDropPoints,PredictionAgreementPercent,TheoreticalWeightStorageBytes,TheoreticalWeightStorageKB,CompressionRatioVsFP32,INT32OverflowCheck
FP32,32,32,32,10000,98.82,0.0,100.0,245880,240.1171875,1.0,N/A
W8A8-INT32,8,8,32,10000,98.83,-0.010000000000005116,99.99,61470,60.029296875,4.0,PASS
W6A6-INT32,6,6,32,10000,98.83,-0.010000000000005116,99.87,46103,45.0224609375,5.333275491833503,PASS
W4A4-INT32,4,4,32,10000,97.46,1.3599999999999994,97.99,30735,30.0146484375,8.0,PASS
