Config,Target_ns,Estimated_ns,Estimated_Fmax_MHz,Latency_cycles,Latency_ms_at_target,Interval,LUT,FF,BRAM_18K,DSP,Source_report
clk_10ns_baseline,10.0,8.28,120.77294685990339,1647854,16.47854,1647855,17108,13452,70,5,lenet_project\handoff\LeNet_DSE_Framework_2022_2\clk_10ns_baseline\solution1\syn\report\lenet_full_top_csynth.xml
clk_9ns,9.0,7.466,133.9405304045004,2247712,20.229408,2247713,17789,13916,70,5,lenet_project\handoff\LeNet_DSE_Framework_2022_2\clk_9ns\solution1\syn\report\lenet_full_top_csynth.xml
clk_8ns,8.0,6.726,148.6767766874814,2546729,20.373832,2546730,18423,14329,70,5,lenet_project\handoff\LeNet_DSE_Framework_2022_2\clk_8ns\solution1\syn\report\lenet_full_top_csynth.xml
clk_7_5ns,7.5,6.418,155.8117793705204,2548619,19.1146425,2548620,18396,14473,70,5,lenet_project\handoff\LeNet_DSE_Framework_2022_2\clk_7_5ns\solution1\syn\report\lenet_full_top_csynth.xml
clk_7ns,7.0,5.377,185.9773107680863,2847628,19.933396,2847629,18945,15272,70,5,lenet_project\handoff\LeNet_DSE_Framework_2022_2\clk_7ns\solution1\syn\report\lenet_full_top_csynth.xml
